chic_feature	atac_feature	rna_feature
655704_ENSG00000099246_RAB18	Peak_169289	ENSG00000099246_RAB18
655704_ENSG00000099246_RAB18	Peak_169292	ENSG00000099246_RAB18
655704_ENSG00000099246_RAB18	Peak_169294	ENSG00000099246_RAB18
655709_ENSG00000099246_RAB18	Peak_169289	ENSG00000099246_RAB18
655709_ENSG00000099246_RAB18	Peak_169292	ENSG00000099246_RAB18
655709_ENSG00000099246_RAB18	Peak_169294	ENSG00000099246_RAB18
655735_ENSG00000099246_RAB18	Peak_169294	ENSG00000099246_RAB18
658052_ENSG00000150054_MPP7	Peak_169364	ENSG00000150054_MPP7
658052_ENSG00000150054_MPP7	Peak_169366	ENSG00000150054_MPP7
658055_ENSG00000150054_MPP7	Peak_169364	ENSG00000150054_MPP7
658055_ENSG00000150054_MPP7	Peak_169366	ENSG00000150054_MPP7
658056_ENSG00000150054_MPP7	Peak_169364	ENSG00000150054_MPP7
658056_ENSG00000150054_MPP7	Peak_169366	ENSG00000150054_MPP7
658067_ENSG00000150054_MPP7	Peak_169364	ENSG00000150054_MPP7
658067_ENSG00000150054_MPP7	Peak_169366	ENSG00000150054_MPP7
658071_ENSG00000150054_MPP7	Peak_169364	ENSG00000150054_MPP7
658071_ENSG00000150054_MPP7	Peak_169366	ENSG00000150054_MPP7
658071_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658071_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658077_ENSG00000150054_MPP7	Peak_169366	ENSG00000150054_MPP7
658077_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658077_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658077_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658079_ENSG00000150054_MPP7	Peak_169366	ENSG00000150054_MPP7
658079_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658079_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658079_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658081_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658081_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658081_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658082_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658082_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658082_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658084_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658084_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658084_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658085_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658085_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658085_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658086_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658086_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658086_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658088_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658088_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658088_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658090_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658090_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658090_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658091_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658091_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658091_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658092_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658092_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658092_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
658094_ENSG00000150054_MPP7	Peak_169367	ENSG00000150054_MPP7
658094_ENSG00000150054_MPP7	Peak_169369	ENSG00000150054_MPP7
658094_ENSG00000150054_MPP7	Peak_169370	ENSG00000150054_MPP7
659474_ENSG00000095739_BAMBI		ENSG00000095739_BAMBI
662158_ENSG00000197321_SVIL	Peak_169488	ENSG00000197321_SVIL
662169_ENSG00000197321_SVIL	Peak_169488	ENSG00000197321_SVIL
